Time;Zone;Hen;PackID
2020-02-15T09:58:30Z;Tier_4;Hen_65;12_sg
2020-02-15T09:59:30Z;Ramp_Nestbox;Hen_14;11_pp
2020-02-15T09:59:30Z;Tier_2;Hen_4;10_ws
2020-02-15T10:00:00Z;Ramp_Nestbox;Hen_57;12_wp
2020-02-15T10:00:09Z;Tier_2;Hen_74;10_sb
2020-02-15T10:00:17Z;Ramp_Nestbox;Hen_107;10_ss
2020-02-15T10:00:30Z;Tier_4;Hen_57;12_wp
2020-02-15T10:00:30Z;Tier_4;Hen_68;11_sp
2020-02-15T10:00:37Z;Tier_2;Hen_98;11_sg
2020-02-15T10:01:00Z;Litter;Hen_65;12_sg
2020-02-15T10:01:30Z;Litter;Hen_106;12_wb
2020-02-15T10:01:30Z;Tier_2;Hen_45;11_ss
2020-02-15T10:02:00Z;Tier_2;Hen_66;12_pb
2020-02-15T10:02:30Z;Tier_4;Hen_106;12_wb
2020-02-15T10:02:30Z;Tier_2;Hen_107;10_ss
2020-02-15T10:02:30Z;Litter;Hen_45;11_ss
2020-02-15T10:02:30Z;Tier_4;Hen_65;12_sg
2020-02-15T10:02:30Z;Litter;Hen_66;12_pb
2020-02-15T10:02:42Z;Tier_2;Hen_71;10_gg
2020-02-15T10:03:00Z;Litter;Hen_106;12_wb
2020-02-15T10:03:00Z;Tier_2;Hen_14;11_pp
2020-02-15T10:03:00Z;Tier_4;Hen_24;12_gb
2020-02-15T10:03:00Z;Tier_2;Hen_54;10_bs
2020-02-15T10:03:00Z;Litter;Hen_65;12_sg
2020-02-15T10:03:00Z;Tier_2;Hen_79;11_gg
2020-02-15T10:03:30Z;Tier_2;Hen_55;11_pb
2020-02-15T10:03:30Z;Tier_4;Hen_65;12_sg
2020-02-15T10:03:30Z;Ramp_Nestbox;Hen_71;10_gg
2020-02-15T10:03:30Z;Ramp_Nestbox;Hen_79;11_gg
2020-02-15T10:03:30Z;Tier_2;Hen_84;10_ps
2020-02-15T10:04:00Z;Tier_2;Hen_52;11_bb
2020-02-15T10:04:00Z;Litter;Hen_65;12_sg
2020-02-15T10:04:30Z;Tier_2;Hen_100;10_bb
2020-02-15T10:04:30Z;Tier_2;Hen_61;12_sp
2020-02-15T10:04:30Z;Tier_2;Hen_66;12_pb
2020-02-15T10:04:30Z;Tier_2;Hen_71;10_gg
2020-02-15T10:04:30Z;Tier_2;Hen_79;11_gg
2020-02-15T10:05:00Z;Tier_2;Hen_106;12_wb
2020-02-15T10:05:00Z;Litter;Hen_107;10_ss
2020-02-15T10:05:00Z;Litter;Hen_24;12_gb
2020-02-15T10:05:00Z;Tier_2;Hen_68;11_sp
2020-02-15T10:05:30Z;Wintergarten;Hen_106;12_wb
2020-02-15T10:05:30Z;Tier_2;Hen_28;11_gb
2020-02-15T10:05:30Z;Tier_2;Hen_36;11_sb
2020-02-15T10:05:30Z;Wintergarten;Hen_96;12_wg
2020-02-15T10:05:57Z;Wintergarten;Hen_93;10_gb
2020-02-15T10:06:00Z;Litter;Hen_14;11_pp
2020-02-15T10:06:00Z;Litter;Hen_28;11_gb
2020-02-15T10:06:00Z;Wintergarten;Hen_54;10_bs
2020-02-15T10:06:00Z;Tier_2;Hen_65;12_sg
2020-02-15T10:06:00Z;Litter;Hen_82;11_ps
