Time;Zone;Hen;PackID
2020-02-15T09:57:52Z;Tier_2;Hen_10;12_ps
2020-02-15T09:57:56Z;Tier_4;Hen_33;12_ws
2020-02-15T09:57:57Z;Litter;Hen_33;12_ws
2020-02-15T09:58:01Z;Tier_4;Hen_95;12_sb
2020-02-15T09:58:13Z;Litter;Hen_106;12_wb
2020-02-15T09:58:14Z;Tier_4;Hen_106;12_wb
2020-02-15T09:58:20Z;Tier_4;Hen_65;12_sg
2020-02-15T09:58:21Z;Ramp_Nestbox;Hen_4;10_ws
2020-02-15T09:58:31Z;Tier_2;Hen_33;12_ws
2020-02-15T09:58:52Z;Litter;Hen_65;12_sg
2020-02-15T09:59:00Z;Tier_4;Hen_65;12_sg
2020-02-15T09:59:23Z;Tier_2;Hen_4;10_ws
2020-02-15T09:59:39Z;Ramp_Nestbox;Hen_14;11_pp
2020-02-15T10:00:06Z;Ramp_Nestbox;Hen_57;12_wp
2020-02-15T10:00:09Z;Tier_2;Hen_74;10_sb
2020-02-15T10:00:17Z;Ramp_Nestbox;Hen_107;10_ss
2020-02-15T10:00:24Z;Tier_4;Hen_68;11_sp
2020-02-15T10:00:30Z;Tier_4;Hen_57;12_wp
2020-02-15T10:00:37Z;Litter;Hen_65;12_sg
2020-02-15T10:00:37Z;Tier_2;Hen_98;11_sg
2020-02-15T10:00:39Z;Tier_4;Hen_65;12_sg
2020-02-15T10:00:47Z;Litter;Hen_65;12_sg
2020-02-15T10:01:23Z;Tier_2;Hen_45;11_ss
2020-02-15T10:01:33Z;Litter;Hen_106;12_wb
2020-02-15T10:01:54Z;Tier_4;Hen_96;12_wg
2020-02-15T10:02:09Z;Tier_2;Hen_66;12_pb
2020-02-15T10:02:12Z;Litter;Hen_96;12_wg
2020-02-15T10:02:17Z;Tier_4;Hen_65;12_sg
2020-02-15T10:02:20Z;Tier_4;Hen_106;12_wb
2020-02-15T10:02:27Z;Litter;Hen_45;11_ss
2020-02-15T10:02:31Z;Tier_2;Hen_107;10_ss
2020-02-15T10:02:31Z;Litter;Hen_66;12_pb
2020-02-15T10:02:42Z;Tier_2;Hen_71;10_gg
2020-02-15T10:02:46Z;Litter;Hen_106;12_wb
2020-02-15T10:02:59Z;Litter;Hen_65;12_sg
2020-02-15T10:03:03Z;Tier_4;Hen_24;12_gb
